Country,2014
Afghanistan,7.91
Albania,18.05
Algeria,10.21
Angola,9.58
Argentina,7.27
Armenia,11.862
Australia,6.08
Austria,5.62
Azerbaijan,4.91
"Bahamas, The",13.8
Bahrain,1.184
Bangladesh,4.393
Barbados,12.17
Belarus,5.996
Belgium,8.52
Belize,8.24
Benin,2.111
Bhutan,2.63
Bolivia,2.02
Bosnia and Herzegovina,27.52
Botswana,18.894
Brazil,6.76
Brunei Darussalam,6.86
Bulgaria,11.42
Burkina Faso,4.206
Burundi,1.57
Cabo Verde,11.586
Cambodia,0.69
Cameroon,3.53
Canada,6.91
Central African Republic,5.577
Chad,1.042
Channel Islands,8.996
Chile,6.65
China,4.63
Colombia,8.57
Comoros,8.14
"Congo, Dem. Rep.",4.449
"Congo, Rep.",20.274
Costa Rica,8.5
Cote d'Ivoire,3.475
Croatia,17.29
Cuba,2.7
Cyprus,16.09
Czechia,6.11
Denmark,6.93
Djibouti,26.51
Dominican Republic,6.72
Ecuador,3.48
"Egypt, Arab Rep.",13.105
El Salvador,4.15
Equatorial Guinea,8.097
Eritrea,5.678
Estonia,7.35
Eswatini,23.973
Ethiopia,2.412
Fiji,4.277
Finland,8.66
France,10.29
French Polynesia,12.14
Gabon,20.565
"Gambia, The",7.786
Georgia,17.44
Germany,4.98
Ghana,4.495
Greece,26.49
Guam,7.6
Guatemala,2.72
Guinea,4.916
Guinea-Bissau,3.163
Guyana,12.954
Haiti,13.96
Honduras,7.08
"Hong Kong SAR, China",3.3
Hungary,7.73
Iceland,4.9
India,7.981
Indonesia,4.05
"Iran, Islamic Rep.",10.68
Iraq,10.59
Ireland,11.86
Israel,5.89
Italy,12.68
Jamaica,9.05
Japan,3.59
Jordan,11.9
Kazakhstan,5.06
Kenya,2.796
"Korea, Dem. People's Rep.",2.868
"Korea, Rep.",3.08
Kuwait,2.9
Kyrgyz Republic,3.283
Lao PDR,2.146
Latvia,10.85
Lebanon,8.765
Lesotho,16.904
Liberia,2.08
Libya,19.611
Lithuania,10.7
Luxembourg,5.85
"Macao SAR, China",1.67
Madagascar,1.391
Malawi,4.968
Malaysia,2.88
Maldives,7.521
Mali,1.349
Malta,5.73
Mauritania,10.066
Mauritius,7.47
Mexico,4.81
Moldova,3.73
Mongolia,4.8
Montenegro,18.05
Morocco,9.7
Mozambique,3.384
Myanmar,0.723
Namibia,18.52
Nepal,10.576
Netherlands,7.42
New Caledonia,14.59
New Zealand,5.43
Nicaragua,4.52
Niger,0.52
Nigeria,3.944
North Macedonia,28.38
Norway,3.48
Oman,3.55
Pakistan,1.83
Panama,4.419
Papua New Guinea,2.34
Paraguay,5.03
Peru,3.21
Philippines,3.6
Poland,8.99
Portugal,13.9
Puerto Rico,13.9
Qatar,0.2
Romania,6.8
Russian Federation,5.16
Rwanda,11.876
Samoa,8.72
Sao Tome and Principe,13.64
Saudi Arabia,5.72
Senegal,7.625
Serbia,19.22
Sierra Leone,4.68
Singapore,3.74
Slovak Republic,13.18
Slovenia,9.67
Solomon Islands,0.734
Somalia,19.01
South Africa,22.61
South Sudan,12.139
Spain,24.44
Sri Lanka,4.19
St. Lucia,21.303
St. Vincent and the Grenadines,18.948
Sudan,17.385
Suriname,6.94
Sweden,7.95
Switzerland,4.83
Syrian Arab Republic,8.744
Tajikistan,8.227
Tanzania,2.12
Thailand,0.58
Timor-Leste,4.213
Togo,2.145
Tonga,1.826
Trinidad and Tobago,2.48
Tunisia,14.26
Turkiye,9.88
Turkmenistan,4.126
Uganda,2.323
Ukraine,9.27
United Arab Emirates,1.902
United Kingdom,6.11
United States,6.17
Uruguay,6.55
Uzbekistan,5.09
Vanuatu,1.792
"Venezuela, RB",6.865
Vietnam,1.26
Virgin Islands (U.S.),12.475
West Bank and Gaza,20.53
"Yemen, Rep.",13.47
Zambia,8.133
Zimbabwe,4.77
